,Id,Nombre
0,746,aceite de algodon
1,747,aceite de cacahuete
2,748,aceite de coco
3,753,aceite de colza
4,749,aceite de germen de trigo
5,2541,aceite de girasol
6,754,aceite de grano de uva
7,755,aceite de higado de bacalao
8,2542,aceite de lino
9,750,aceite de nuez
10,2543,aceite de oliva
11,2544,aceite de oliva virgen extra
12,2545,aceite de oliva virgen extra produccion ecologica
13,751,aceite de palma
14,752,aceite de sesamo
15,2546,aceite de soja
16,2214,aceituna
17,2215,aceituna negra con hueso
18,2212,acelga cruda
19,2359,acelga en conserva
20,2360,acelgas hervidas
21,733,achicoria cruda
22,2425,agua de la red
23,2426,agua mineral mineralizacion debil
24,1015,agua con gas embotellada
25,2216,aguacate
26,2217,aguacate congelado
27,2427,aguardiente
28,2361,ajo
29,2573,ajo en polvo
30,2362,ajo frito
31,2473,albahaca
32,2218,albaricoque
33,2474,albondigas en conserva
34,1176,alcachofa cruda
35,2363,alcachofas en conserva
36,2364,alcaparra
37,790,alioli
38,2640,almeja
39,2641,almejas en conserva
40,896,almendra cruda
41,2181,almendra cruda con cascara
42,897,almendra frita salada
43,2182,almendra tostada
44,893,almidon de arroz
45,1012,almidon de maiz
46,895,almidon de trigo
47,2183,altramuz
48,898,alubia blanca en conserva
49,899,alubia blanca seca cruda
50,900,alubia negra seca remojada hervida
51,922,anacardo crudo
52,2129,anchoas en aceite vegetal
53,735,anguila al horno
54,736,anguila cruda
55,737,anguila hervida
56,1169,angula cruda
57,1022,anis seco
58,789,aperitivos de trigo
59,2366,apio crudo
60,739,apio en conserva en salmuera
61,2368,arandano
62,740,arenque ahumado
63,741,arenque salado
64,2660,arroz
65,2479,arroz con leche
66,1120,arroz hinchado para el desayuno enriquecido
67,904,arroz integral crudo
68,1009,arroz integral hervido
69,2661,arroz hervido
70,2130,atun en aceite de oliva isabel
71,2131,atun en aceite vegetal
72,2132,atun en escabeche
73,742,atun al horno
74,2133,atun al natural
75,2134,atun crudo
76,2135,atun plancha
77,2219,avellana
78,2184,avellana cruda con cascara
79,1010,avena cruda
80,2253,avestruz solomillo crudo
81,2475,azafran
82,2642,azucar blanca
83,780,azucar moreno
84,2136,bacaladilla
85,745,bacalao ahumado
86,2302,bacalao crudo
87,795,bacalao fresco al horno
88,2304,bacalao frito
89,1163,bacalao salado crudo
90,797,bacalao salado remojado crudo
91,680,bacon ahumado a la parrilla
